Дата,Изменение наличных денег в обращении (вне Банка России),Всего,движение средств по государственному внутреннему долгу,изменение задолженности банков по депозитам Федерального казначейства,изменение задолженности банков по операциям репо Федерального казначейства,операции Минфина России по покупке (продаже) иностранной валюты на внутреннем валютном рынке*,Регулирование Банком России обязательных резервов кредитных организаций,Интервенции Банка России на внутреннем валютном рынке,Нетто-объем операций Банка России по предоставлению и абсорбированию ликвидности (без учета операций на внутреннем валютном рынке)
2012-01-30,37.6,-43.51,0.0,0.0,0.0,0.0,-0.02,3.64,42.31
2012-01-31,30.37,131.71,0.0,0.0,0.0,0.0,0.0,3.03,-244.56
2012-02-01,11.16,73.69,0.0,0.0,0.0,0.0,0.0,3.62,-133.37
2012-02-02,-14.31,103.3,0.0,0.0,0.0,0.0,0.0,3.63,-161.62
2012-02-03,-31.46,129.69,0.0,0.0,0.0,0.0,0.0,3.63,-75.88
2012-02-06,13.7,1.96,0.0,0.0,0.0,0.0,0.0,3.63,-135.22
2012-02-07,2.12,67.42,0.0,0.0,0.0,0.0,0.06,3.63,-50.16
2012-02-08,-10.8,-22.51,0.0,0.0,0.0,0.0,0.0,3.6,-10.19
2012-02-09,-24.33,55.48,0.0,0.0,0.0,0.0,0.0,3.57,-1.53
2012-02-10,-39.86,35.8,0.0,0.0,0.0,0.0,0.0,3.57,332.27
2012-02-13,6.44,-0.25,0.0,0.0,0.0,0.0,0.0,3.6,65.95
2012-02-14,-1.89,-4.72,0.0,0.0,0.0,0.0,-0.06,3.59,8.11
2012-02-15,-12.02,-49.59,0.0,0.0,0.0,0.0,2.9,3.6,-47.83
2012-02-16,-30.08,-1.17,0.0,0.0,0.0,0.0,-6.74,3.6,26.01
2012-02-17,-31.2,32.27,0.0,0.0,0.0,0.0,0.0,3.63,19.89
2012-02-20,15.06,-111.81,0.0,0.0,0.0,0.0,0.0,0.18,36.75
2012-02-21,5.71,0.13,0.0,0.0,0.0,0.0,0.0,6.99,-26.85
2012-02-22,-11.34,-36.91,0.0,0.0,0.0,0.0,0.0,3.58,-15.35
2012-02-24,7.4,-28.65,0.0,0.0,0.0,0.0,0.0,3.57,-72.3
2012-02-27,48.27,-267.24,0.0,0.0,0.0,0.0,0.0,3.52,179.98
2012-02-28,33.81,-64.08,0.0,0.0,0.0,0.0,0.0,7.27,101.01
2012-02-29,16.8,-30.52,0.0,0.0,0.0,0.0,0.0,7.25,26.74
2012-03-01,-6.01,25.0,0.0,0.0,0.0,0.0,0.0,7.27,-105.37
2012-03-02,-29.1,54.34,0.0,0.0,0.0,0.0,0.0,5.83,-79.6
